SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018
010,0,0,00,United States,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,567980,2253924,2294209,2183509,2328694,2356252,2328669,2075779,2020313,0.1839563046,0.7286562981,0.7363145689,0.6956637005,0.7367938832,0.7400604563,0.7260240673,0.6425141231,0.6213534949,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,55318430,55380645,55600532,55776729,55907823,56015864,56047587,56058789,56072676,56111079,62215,219887,176197,131094,108041,31723,11202,13887,38403,0.1124670386,0.3970466577,0.3168980469,0.235033503,0.1932484475,0.0566321712,0.0199865875,0.0247722083,0.0684879031,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
020,2,0,00,Midwest Region,66929743,66974749,67152631,67336937,67564135,67752238,67869139,67996917,68156035,68308744,45006,177882,184306,227198,188103,116901,127778,159118,152709,0.0672436468,0.2655956202,0.2744583455,0.3374047144,0.2784065836,0.1725419019,0.1882711375,0.2340076683,0.2240579283,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3
020,3,0,00,South Region,114563045,114867066,116039399,117271075,118393244,119657737,121037542,122401186,123598424,124753948,304021,1172333,1231676,1122169,1264493,1379805,1363644,1197238,1155524,0.2653744059,1.0205997601,1.0614291444,0.9569017765,1.0680448962,1.1531264376,1.1266289595,0.9781261433,0.9349018884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020,4,0,00,West Region,71946887,72103625,72787447,73489477,74192525,74960582,75788405,76614450,77319986,77993663,156738,683822,702030,703048,768057,827823,826045,705536,673677,0.2178523721,0.9483878238,0.9644932319,0.9566648569,1.0352215402,1.104344414,1.089935855,0.9208915551,0.8712844309,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
040,3,6,01,Alabama,4780138,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,5310,13386,16730,14896,12021,10679,11585,10375,12751,0.1110846591,0.279723027,0.3486263538,0.3093303297,0.2488582868,0.2205274528,0.2387104485,0.2132691436,0.2615525361,23,23,23,23,23,23,24,24,24,24,28,32,26,31,32,30,28,31,27,37,38,34,33,35,36,34,34,34
040,4,9,02,Alaska,710249,713906,722038,730399,737045,736307,737547,741504,739786,737438,3657,8132,8361,6646,-738,1240,3957,-1718,-2348,0.5148898485,1.1390855379,1.1579722951,0.9099136226,-0.100129571,0.1684080146,0.5365081819,-0.231691265,-0.317389083,47,47,47,47,47,48,48,48,48,48,32,39,40,42,47,42,37,44,45,2,8,11,18,48,37,22,46,49
040,4,8,04,Arizona,6392288,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,15486,65723,83132,78370,98841,99756,111856,103424,122770,0.2422606741,1.0256759992,1.2841899826,1.1952788544,1.4896912569,1.4814132798,1.6368541541,1.489089551,1.7416961229,16,16,16,15,15,15,14,14,14,14,11,10,7,5,4,7,7,7,4,15,10,7,7,7,9,9,6,4
040,3,7,05,Arkansas,2916028,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,5950,18429,11702,7440,8177,10681,12003,12587,10828,0.20404468,0.6307029006,0.3979721175,0.2520232146,0.2762920972,0.3599051934,0.4030006644,0.4209121826,0.3605731208,32,32,32,32,32,32,33,32,32,33,26,25,35,41,37,29,27,26,30,22,28,31,38,31,30,26,24,28
040,4,9,06,California,37254523,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,66380,320920,318959,320042,344315,328003,255985,190222,157696,0.1781797072,0.859893449,0.8473526906,0.8430858985,0.8994451112,0.8491956495,0.6571613658,0.4851472465,0.4002502681,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,26,17,19,20,16,16,20,23,25
